Date,Description,Amount
2024-05-01,Supermarket Grocery,150.75
2024-05-02,Electricity Bill,60.20
2024-05-03,Spotify Subscription,9.99
2024-05-04,Uber Ride,23.50
2024-05-05,Cinema Ticket,12.00
2024-05-06,Cafe Latte,4.50
2024-05-07,Pharmacy Purchase,30.00
2024-05-08,Gas Station Fuel,45.00
2024-05-09,Netflix Subscription,15.99
2024-05-10,Water Bill,25.40
2024-05-11,Restaurant Dinner,80.00
2024-05-12,Internet Bill,50.00
2024-05-13,Concert Ticket,55.00
2024-05-14,Taxi Fare,18.75
2024-05-15,Amazon Purchase,120.00
2024-05-16,Gym Membership,35.00
2024-05-17,Movie Theater,22.00
2024-05-18,Dental Appointment,200.00
2024-05-19,Bus Pass,45.00
2024-05-20,Medical Prescription,25.00
2024-05-21,Airline Ticket,350.00
2024-05-22,Bookstore Purchase,20.00
2024-05-23,Shopping Mall,100.00
2024-05-24,Waterpark Entry,30.00
2024-05-25,Dinner at Diner,65.00
2024-05-26,Petrol Station,40.00
2024-05-27,Streaming Service,14.99
2024-05-28,Gas Utility,55.00
2024-05-29,Taxi Ride,22.50
2024-05-30,Food Delivery,35.75
2024-05-31,Craft Supplies,27.50
2024-06-01,Quick Bite,8.50
2024-06-02,Utility Bill,70.00
2024-06-03,Subscription Box,25.00
2024-06-04,Dentist Visit,180.00
2024-06-05,Train Ticket,20.00
2024-06-06,Video Game Purchase,65.00
2024-06-07,Groceries,140.00
2024-06-08,Electric Bill,58.60
2024-06-09,Online Course,120.00
2024-06-10,Hotel Stay,200.00
2024-06-11,Cinema Snacks,10.00
2024-06-12,Car Service,300.00
2024-06-13,Gift Card,50.00
2024-06-14,Library Fine,5.00
